"","X.Organism.Name","Size..Mb.","GC.","Scaffolds","Genes","Release.Date","Modify.Date","Assembly.Accession","genus","strain","acc","full_ftp"
"85","Mycobacterium ulcerans Agy99",5.80576,"65.419","2","5238","2006/12/01","2017/08/27","GCA_000013925.2","ulcerans","Mycobacterium","NC_008611.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/925/GCA_000013925.2_ASM1392v2/GCA_000013925.2_ASM1392v2_genomic.fasta"
"86","Rhodopseudomonas palustris HaA2",5.33166,"66","1","4785","2006/02/06","2017/05/19","GCA_000013365.1","palustris","Rhodopseudomonas","NC_007778.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/365/GCA_000013365.1_ASM1336v1/GCA_000013365.1_ASM1336v1_genomic.fasta"
"87","Rhodobacter sphaeroides ATCC 17025",4.55713,"68.2478","6","4547","2007/04/20","2017/05/19","GCA_000016405.1","sphaeroides","Rhodobacter","NC_009428.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/405/GCA_000016405.1_ASM1640v1/GCA_000016405.1_ASM1640v1_genomic.fasta"
"88","Mycoplasma capricolum subsp. capricolum ATCC 27343",1.01002,"23.8","1","877","2005/12/06","2017/03/29","GCA_000012765.1","capricolum","Mycoplasma","NC_007633.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/765/GCA_000012765.1_ASM1276v1/GCA_000012765.1_ASM1276v1_genomic.fasta"
"89","Bartonella bacilliformis KC583",1.44502,"38.2","1","1290","2007/01/04","2017/03/30","GCA_000015445.1","bacilliformis","Bartonella","NC_008783.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/445/GCA_000015445.1_ASM1544v1/GCA_000015445.1_ASM1544v1_genomic.fasta"
"91","Sodalis glossinidius str. 'morsitans'",4.2925,"54.5066","4","4736","2006/01/11","2017/04/17","GCA_000010085.1","glossinidius","Sodalis","NC_007712.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/085/GCA_000010085.1_ASM1008v1/GCA_000010085.1_ASM1008v1_genomic.fasta"
"92","Salinispora tropica CNB-440",5.18333,"69.5","1","4778","2007/04/17","2017/05/19","GCA_000016425.1","tropica","Salinispora","NC_009380.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/425/GCA_000016425.1_ASM1642v1/GCA_000016425.1_ASM1642v1_genomic.fasta"
"93","Aeromonas salmonicida subsp. salmonicida A449",5.04054,"58.1696","6","4792","2007/04/06","2017/05/18","GCA_000196395.1","salmonicida","Aeromonas","NC_009348.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/395/GCA_000196395.1_ASM19639v1/GCA_000196395.1_ASM19639v1_genomic.fasta"
"94","Coxiella burnetii RSA 493",2.03281,"42.6376","2","2085","2001/08/28","2017/03/02","GCA_000007765.2","burnetii","Coxiella","NC_002971.4","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/765/GCA_000007765.2_ASM776v2/GCA_000007765.2_ASM776v2_genomic.fasta"
"95","Vibrio parahaemolyticus RIMD 2210633",5.16577,"45.4","2","4991","2003/03/05","2016/08/28","GCA_000196095.1","parahaemolyticus","Vibrio","chromosome 1:NC_004603.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/095/GCA_000196095.1_ASM19609v1/GCA_000196095.1_ASM19609v1_genomic.fasta"
"96","Bacillus subtilis subsp. subtilis str. 168",4.21561,"43.5","1","4420","1997/11/20","2017/05/21","GCA_000009045.1","subtilis","Bacillus","NC_000964.3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/045/GCA_000009045.1_ASM904v1/GCA_000009045.1_ASM904v1_genomic.fasta"
"97","Lactobacillus casei str. Zhang",2.89846,"46.4194","2","2936","2010/07/12","2017/04/03","GCA_000019245.3","casei","Lactobacillus","NC_014334.2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/245/GCA_000019245.3_ASM1924v3/GCA_000019245.3_ASM1924v3_genomic.fasta"
"98","Salinispora arenicola CNS-205",5.78636,"69.5","1","5175","2007/10/05","2017/05/19","GCA_000018265.1","arenicola","Salinispora","NC_009953.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/265/GCA_000018265.1_ASM1826v1/GCA_000018265.1_ASM1826v1_genomic.fasta"
"99","Mycoplasma agalactiae PG2",0.877438,"29.7","1","775","2007/05/23","2017/04/07","GCA_000063605.1","agalactiae","Mycoplasma","NC_009497.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/063/605/GCA_000063605.1_ASM6360v1/GCA_000063605.1_ASM6360v1_genomic.fasta"
"100","Thermotoga neapolitana DSM 4359",1.88456,"46.9","1","1938","2009/01/27","2017/04/07","GCA_000018945.1","neapolitana","Thermotoga","NC_011978.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/945/GCA_000018945.1_ASM1894v1/GCA_000018945.1_ASM1894v1_genomic.fasta"
"101","Roseobacter denitrificans OCh 114",4.33123,"58.9096","5","4092","2006/06/22","2017/05/19","GCA_000014045.1","denitrificans","Roseobacter","NC_008209.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/014/045/GCA_000014045.1_ASM1404v1/GCA_000014045.1_ASM1404v1_genomic.fasta"
"102","Ralstonia eutropha JMP134",7.25529,"64.4539","4","6708","2005/08/10","2017/05/19","GCA_000203875.1","eutropha","Ralstonia","chromosome 1:NC_007347.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/203/875/GCA_000203875.1_ASM20387v1/GCA_000203875.1_ASM20387v1_genomic.fasta"
"103","Desulfitobacterium hafniense DCB-2",5.27913,"47.5","1","5038","2009/01/05","2017/05/18","GCA_000021925.1","hafniense","Desulfitobacterium","NC_011830.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/925/GCA_000021925.1_ASM2192v1/GCA_000021925.1_ASM2192v1_genomic.fasta"
"104","Delftia acidovorans SPH-1",6.76751,"66.5","1","6232","2007/11/16","2017/05/18","GCA_000018665.1","acidovorans","Delftia","NC_010002.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/665/GCA_000018665.1_ASM1866v1/GCA_000018665.1_ASM1866v1_genomic.fasta"
"105","Desulfovibrio vulgaris str. 'Miyazaki F'",4.0403,"67.1","1","3269","2008/12/24","2017/04/07","GCA_000021385.1","vulgaris","Desulfovibrio","NC_011769.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/385/GCA_000021385.1_ASM2138v1/GCA_000021385.1_ASM2138v1_genomic.fasta"
"106","Rickettsia bellii RML369-C",1.52208,"31.6","1","1537","2006/04/05","2017/04/06","GCA_000012385.1","bellii","Rickettsia","NC_007940.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/385/GCA_000012385.1_ASM1238v1/GCA_000012385.1_ASM1238v1_genomic.fasta"
"107","Methanococcus maripaludis C7",1.77269,"33.3","1","1857","2007/06/29","2017/04/06","GCA_000017225.1","maripaludis","Methanococcus","NC_009637.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/225/GCA_000017225.1_ASM1722v1/GCA_000017225.1_ASM1722v1_genomic.fasta"
"108","Lactobacillus helveticus",2.16058,"36.8","1","2206","2015/10/08","2017/04/04","GCA_001308285.1","Lactobacillus helveticus","Lactobacillus helveticus","NZ_CP012381.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/308/285/GCA_001308285.1_ASM130828v1/GCA_001308285.1_ASM130828v1_genomic.fasta"
"109","Ralstonia pickettii 12J",5.32573,"63.6234","3","5073","2008/05/07","2017/05/19","GCA_000020205.1","pickettii","Ralstonia","chromosome 1:NC_010682.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/205/GCA_000020205.1_ASM2020v1/GCA_000020205.1_ASM2020v1_genomic.fasta"
"110","Geobacillus stearothermophilus 10",3.67649,"52.6118","2","3737","2015/08/26","2017/04/04","GCA_001274575.1","stearothermophilus","Geobacillus","NZ_CP008934.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/274/575/GCA_001274575.1_ASM127457v1/GCA_001274575.1_ASM127457v1_genomic.fasta"
"111","Rickettsia rickettsii str. Iowa",1.2682,"32.4","1","1540","2008/01/17","2017/04/03","GCA_000017445.3","rickettsii","Rickettsia","NC_010263.3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/445/GCA_000017445.3_ASM1744v3/GCA_000017445.3_ASM1744v3_genomic.fasta"
"112","Photobacterium damselae subsp. damselae",4.54459,"40.8845","6","4280","2017/05/16","2017/05/24","GCA_002142615.1","damselae","Photobacterium","chromosome I:NZ_CP021151.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/142/615/GCA_002142615.1_ASM214261v1/GCA_002142615.1_ASM214261v1_genomic.fasta"
"113","Borrelia afzelii HLJ01",0.905471,"28.3","1","854","2012/10/10","2017/03/30","GCA_000304735.1","afzelii","Borrelia","NC_018887.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/304/735/GCA_000304735.1_ASM30473v1/GCA_000304735.1_ASM30473v1_genomic.fasta"
"115","Bifidobacterium adolescentis ATCC 15703",2.08964,"59.2","1","1749","2006/12/06","2017/05/10","GCA_000010425.1","adolescentis","Bifidobacterium","NC_008618.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/425/GCA_000010425.1_ASM1042v1/GCA_000010425.1_ASM1042v1_genomic.fasta"
"116","Vibrio harveyi",5.88149,"44.9616","2","5521","2014/10/31","2017/04/05","GCA_000770115.2","Vibrio harveyi","Vibrio harveyi","chromosome 1:NZ_CP009467.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/770/115/GCA_000770115.2_ASM77011v2/GCA_000770115.2_ASM77011v2_genomic.fasta"
"117","Lactococcus garvieae ATCC 49156",1.95013,"38.8","1","1985","2011/08/10","2017/03/30","GCA_000269925.1","garvieae","Lactococcus","NC_015930.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/269/925/GCA_000269925.1_ASM26992v1/GCA_000269925.1_ASM26992v1_genomic.fasta"
"119","Saccharopolyspora erythraea NRRL 2338",8.2128,"71.1","1","7233","2007/03/21","2017/05/19","GCA_000062885.1","erythraea","Saccharopolyspora","NC_009142.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/062/885/GCA_000062885.1_ASM6288v1/GCA_000062885.1_ASM6288v1_genomic.fasta"
"121","Methylobacterium extorquens PA1",5.47115,"68.2","1","5040","2007/12/20","2017/05/19","GCA_000018845.1","extorquens","Methylobacterium","NC_010172.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/845/GCA_000018845.1_ASM1884v1/GCA_000018845.1_ASM1884v1_genomic.fasta"
"122","Sulfolobus islandicus L.S.2.15",2.73627,"35.1","1","3021","2009/04/24","2017/03/30","GCA_000022385.1","islandicus","Sulfolobus","NC_012589.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/385/GCA_000022385.1_ASM2238v1/GCA_000022385.1_ASM2238v1_genomic.fasta"
"123","Methylobacterium radiotolerans JCM 2831",6.89911,"71.0375","9","6534","2008/03/21","2017/05/19","GCA_000019725.1","radiotolerans","Methylobacterium","NC_010505.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/725/GCA_000019725.1_ASM1972v1/GCA_000019725.1_ASM1972v1_genomic.fasta"
"124","Orientia tsutsugamushi str. Boryong",2.12705,"30.5","1","2195","2007/05/15","2017/03/30","GCA_000063545.1","tsutsugamushi","Orientia","NC_009488.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/063/545/GCA_000063545.1_ASM6354v1/GCA_000063545.1_ASM6354v1_genomic.fasta"
"125","Porphyromonas gingivalis ATCC 33277",2.35489,"48.4","1","2118","2008/05/21","2017/03/29","GCA_000010505.1","gingivalis","Porphyromonas","NC_010729.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/505/GCA_000010505.1_ASM1050v1/GCA_000010505.1_ASM1050v1_genomic.fasta"
"126","Klebsiella pneumoniae subsp. pneumoniae HS11286",5.68232,"57.1373","7","5867","2011/12/21","2017/03/22","GCA_000240185.2","pneumoniae","Klebsiella","NC_016845.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/240/185/GCA_000240185.2_ASM24018v2/GCA_000240185.2_ASM24018v2_genomic.fasta"
"127","Enterococcus faecalis V583",3.35997,"37.3546","4","3412","2003/03/28","2016/08/28","GCA_000007785.1","faecalis","Enterococcus","NC_004668.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/785/GCA_000007785.1_ASM778v1/GCA_000007785.1_ASM778v1_genomic.fasta"
"128","Clostridium botulinum A str. Hall",3.76056,"28.2","1","3499","2007/07/20","2016/08/03","GCA_000017045.1","botulinum","Clostridium","NC_009698.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/045/GCA_000017045.1_ASM1704v1/GCA_000017045.1_ASM1704v1_genomic.fasta"
"129","Lactobacillus fermentum IFO 3956",2.09869,"51.5","1","2134","2008/04/16","2017/05/10","GCA_000010145.1","fermentum","Lactobacillus","NC_010610.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/145/GCA_000010145.1_ASM1014v1/GCA_000010145.1_ASM1014v1_genomic.fasta"
"130","Gramella forsetii KT0803",3.79847,"36.6","1","3463","2006/11/06","2017/04/17","GCA_000060345.1","forsetii","Gramella","NC_008571.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/060/345/GCA_000060345.1_ASM6034v1/GCA_000060345.1_ASM6034v1_genomic.fasta"
"131","Ureaplasma parvum serovar 3 str. ATCC 27815",0.751679,"25.5","1","646","2008/02/26","2017/04/06","GCA_000019345.1","parvum","Ureaplasma","NC_010503.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/345/GCA_000019345.1_ASM1934v1/GCA_000019345.1_ASM1934v1_genomic.fasta"
"132","Ureaplasma urealyticum serovar 10 str. ATCC 33699",0.874478,"25.8","1","694","2008/10/16","2017/03/29","GCA_000021265.1","urealyticum","Ureaplasma","NC_011374.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/265/GCA_000021265.1_ASM2126v1/GCA_000021265.1_ASM2126v1_genomic.fasta"
"133","Mycoplasma mycoides subsp. mycoides SC str. PG1",1.2117,"24","1","1053","2004/02/09","2016/08/03","GCA_000011445.1","mycoides","Mycoplasma","NC_005364.2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/445/GCA_000011445.1_ASM1144v1/GCA_000011445.1_ASM1144v1_genomic.fasta"
"134","Burkholderia thailandensis E264",6.72397,"67.6468","2","6422","2005/12/15","2017/05/18","GCA_000012365.1","thailandensis","Burkholderia","chromosome I:NC_007651.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/365/GCA_000012365.1_ASM1236v1/GCA_000012365.1_ASM1236v1_genomic.fasta"
"135","Octadecabacter antarcticus 307",4.87548,"54.5768","2","5041","2013/04/08","2017/05/19","GCA_000155675.2","antarcticus","Octadecabacter","NC_020911.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/155/675/GCA_000155675.2_ASM15567v2/GCA_000155675.2_ASM15567v2_genomic.fasta"
"136","Vibrio fischeri ES114",4.27372,"38.371","3","3984","2005/02/11","2016/08/03","GCA_000011805.1","fischeri","Vibrio","chromosome I:NC_006840.2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/805/GCA_000011805.1_ASM1180v1/GCA_000011805.1_ASM1180v1_genomic.fasta"
"137","Burkholderia multivorans ATCC 17616",7.00881,"66.6924","4","6737","2008/06/03","2017/03/29","GCA_000010545.1","multivorans","Burkholderia","chromosome 1:NC_010804.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/545/GCA_000010545.1_ASM1054v1/GCA_000010545.1_ASM1054v1_genomic.fasta"
"138","Clostridium kluyveri DSM 555",4.0238,"32.0206","2","3968","2007/07/19","2017/04/06","GCA_000016505.1","kluyveri","Clostridium","NC_009706.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/505/GCA_000016505.1_ASM1650v1/GCA_000016505.1_ASM1650v1_genomic.fasta"
"139","Burkholderia oklahomensis",7.31367,"66.9427","2","6902","2014/09/18","2017/04/09","GCA_000755985.1","Burkholderia oklahomensis","Burkholderia oklahomensis","chromosome 1:NZ_CP008726.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/755/985/GCA_000755985.1_ASM75598v1/GCA_000755985.1_ASM75598v1_genomic.fasta"
"140","Ochrobactrum anthropi ATCC 49188",5.20578,"56.1453","6","5087","2007/07/12","2017/05/19","GCA_000017405.1","anthropi","Ochrobactrum","chromosome 1:NC_009667.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/405/GCA_000017405.1_ASM1740v1/GCA_000017405.1_ASM1740v1_genomic.fasta"
"141","Phaeobacter gallaeciensis DSM 26640",4.54016,"59.4193","8","4389","2013/12/20","2017/04/09","GCA_000511385.1","gallaeciensis","Phaeobacter","NC_023137.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/511/385/GCA_000511385.1_ASM51138v1/GCA_000511385.1_ASM51138v1_genomic.fasta"
"142","Rickettsia prowazekii str. Madrid E",1.11152,"29","1","889","2001/09/10","2016/08/28","GCA_000195735.1","prowazekii","Rickettsia","NC_000963.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/195/735/GCA_000195735.1_ASM19573v1/GCA_000195735.1_ASM19573v1_genomic.fasta"
"143","Borrelia burgdorferi B31",1.52121,"28.1805","22","1568","1997/12/17","2016/08/03","GCA_000008685.2","burgdorferi","Borrelia","NC_001318.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/685/GCA_000008685.2_ASM868v2/GCA_000008685.2_ASM868v2_genomic.fasta"
"144","Treponema pallidum subsp. pallidum str. Sea 81-4",1.1392,"52.8","1","1067","2014/03/28","2017/04/02","GCA_000604125.1","pallidum","Treponema","NZ_CP003679.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/604/125/GCA_000604125.1_ASM60412v1/GCA_000604125.1_ASM60412v1_genomic.fasta"
"145","Rhizobium leguminosarum bv. trifolii WSM2304",6.8727,"61.1684","5","6690","2008/10/16","2017/07/09","GCA_000021345.1","leguminosarum","Rhizobium","NC_011369.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/345/GCA_000021345.1_ASM2134v1/GCA_000021345.1_ASM2134v1_genomic.fasta"
"146","Clavibacter michiganensis subsp. sepedonicus",3.40379,"72.4187","3","3258","2008/02/12","2017/05/28","GCA_000069225.1","michiganensis","Clavibacter","NC_010407.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/069/225/GCA_000069225.1_ASM6922v1/GCA_000069225.1_ASM6922v1_genomic.fasta"
"147","Brucella canis ATCC 23365",3.31277,"57.2364","2","3361","2007/11/29","2017/03/30","GCA_000018525.1","canis","Brucella","chromosome I:NC_010103.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/525/GCA_000018525.1_ASM1852v1/GCA_000018525.1_ASM1852v1_genomic.fasta"
"148","Anaeromyxobacter dehalogenans 2CP-1",5.02933,"74.7","1","4560","2009/01/12","2017/05/18","GCA_000022145.1","dehalogenans","Anaeromyxobacter","NC_011891.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/022/145/GCA_000022145.1_ASM2214v1/GCA_000022145.1_ASM2214v1_genomic.fasta"
"149","Mycobacterium marinum E11",6.45052,"65.7699","2","5474","2014/05/27","2017/04/10","GCA_000723425.2","marinum","Mycobacterium","chromosome 1:NZ_HG917972.2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/723/425/GCA_000723425.2_E11/GCA_000723425.2_E11_genomic.fasta"
"150","Methanococcus voltae A3",1.93639,"28.6","1","1741","2010/06/03","2017/04/17","GCA_000006175.2","voltae","Methanococcus","NC_014222.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/006/175/GCA_000006175.2_ASM617v2/GCA_000006175.2_ASM617v2_genomic.fasta"
"151","Leptospira biflexa serovar Patoc strain 'Patoc 1 (Paris)'",3.95145,"38.9018","3","3769","2008/02/13","2017/04/06","GCA_000017685.1","biflexa","Leptospira","chromosome I:NC_010602.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/685/GCA_000017685.1_ASM1768v1/GCA_000017685.1_ASM1768v1_genomic.fasta"
"152","Brucella suis 1330",3.31517,"57.2364","2","3358","2002/09/30","2017/03/29","GCA_000007505.1","suis","Brucella","chromosome I:NC_004310.3","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/505/GCA_000007505.1_ASM750v1/GCA_000007505.1_ASM750v1_genomic.fasta"
"153","Burkholderia ambifaria MC40-6",7.64254,"66.3825","4","6739","2008/04/03","2016/05/13","GCA_000019925.1","ambifaria","Burkholderia","chromosome 1:NC_010551.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/925/GCA_000019925.1_ASM1992v1/GCA_000019925.1_ASM1992v1_genomic.fasta"
"154","Bifidobacterium dentium JCM 1195 = DSM 20436",2.63567,"58.5","1","2239","2015/02/17","2017/04/03","GCA_001042595.1","dentium","Bifidobacterium","chromosome Unknown:NZ_AP012326.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/042/595/GCA_001042595.1_ASM104259v1/GCA_001042595.1_ASM104259v1_genomic.fasta"
"155","Bradyrhizobium japonicum USDA 6",9.20738,"63.7","1","8743","2011/11/01","2017/03/30","GCA_000284375.1","japonicum","Bradyrhizobium","NC_017249.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/375/GCA_000284375.1_ASM28437v1/GCA_000284375.1_ASM28437v1_genomic.fasta"
"156","Microcystis aeruginosa NIES-843",5.84279,"42.3","1","5867","2008/01/25","2017/03/29","GCA_000010625.1","aeruginosa","Microcystis","NC_010296.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/625/GCA_000010625.1_ASM1062v1/GCA_000010625.1_ASM1062v1_genomic.fasta"
"157","Methanobrevibacter smithii ATCC 35061",1.85316,"31","1","1793","2007/06/04","2017/03/30","GCA_000016525.1","smithii","Methanobrevibacter","NC_009515.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/525/GCA_000016525.1_ASM1652v1/GCA_000016525.1_ASM1652v1_genomic.fasta"
"158","Streptococcus dysgalactiae subsp. equisimilis AC-2713",2.17944,"39.5","1","2134","2012/10/31","2017/03/31","GCA_000317855.1","dysgalactiae","Streptococcus","NC_019042.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/317/855/GCA_000317855.1_ASM31785v1/GCA_000317855.1_ASM31785v1_genomic.fasta"
"159","Gluconacetobacter diazotrophicus PA1 5",3.91495,"66.3446","2","3647","2008/10/16","2017/04/07","GCA_000021325.1","diazotrophicus","Gluconacetobacter","NC_011365.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/021/325/GCA_000021325.1_ASM2132v1/GCA_000021325.1_ASM2132v1_genomic.fasta"
"160","Rhizobium etli CFN 42",6.53023,"61.0458","7","6435","2006/02/01","2017/05/19","GCA_000092045.1","etli","Rhizobium","NC_007761.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/092/045/GCA_000092045.1_ASM9204v1/GCA_000092045.1_ASM9204v1_genomic.fasta"
"161","Ruminiclostridium thermocellum ATCC 27405",3.8433,"39","1","3391","2007/02/14","2017/08/28","GCA_000015865.1","thermocellum","Ruminiclostridium","NC_009012.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/015/865/GCA_000015865.1_ASM1586v1/GCA_000015865.1_ASM1586v1_genomic.fasta"
"162","Chromohalobacter salexigens DSM 3043",3.69665,"63.9","1","3390","2006/04/11","2017/04/17","GCA_000055785.1","salexigens","Chromohalobacter","NC_007963.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/055/785/GCA_000055785.1_ASM5578v1/GCA_000055785.1_ASM5578v1_genomic.fasta"
"163","Bartonella tribocorum CIP 105476",2.6424,"38.8655","2","2421","2007/11/25","2017/04/07","GCA_000196435.1","tribocorum","Bartonella","NC_010161.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/196/435/GCA_000196435.1_ASM19643v1/GCA_000196435.1_ASM19643v1_genomic.fasta"
"165","Streptomyces clavuligerus",7.59076,"72.6162","2","6353","2016/07/26","2017/03/13","GCA_001693675.1","Streptomyces clavuligerus","Streptomyces clavuligerus","NZ_CP016559.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/693/675/GCA_001693675.1_ASM169367v1/GCA_001693675.1_ASM169367v1_genomic.fasta"
"166","Borreliella garinii",1.15611,"28.1739","12","1151","2016/12/21","2017/06/19","GCA_001922545.1","Borreliella garinii","Borreliella garinii","NZ_CP018744.1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/922/545/GCA_001922545.1_ASM192254v1/GCA_001922545.1_ASM192254v1_genomic.fasta"
"167","Streptococcus mutans UA159",2.03293,"36.8","1","2040","2002/10/25","2017/05/21","GCA_000007465.2","mutans","Streptococcus","NC_004350.2","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/465/GCA_000007465.2_ASM746v2/GCA_000007465.2_ASM746v2_genomic.fasta"
